priority	scenario	candidate_gene_id	candidate_label	pathway_module	model_proxy	model_component_type	model_component_id	main_tex_refs	manuscript_evidence	interpretation	expected_direction_if_increased
9	nh4_half	Zm00001eb214890	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	external ammonium level	species	ext_NH4	main.tex:426	Indian Chief ammonium transporter candidate plus manuscript N-supply framing	Approximates sustained lower inorganic N availability	lower reduced-N pools and weaker downstream amino-acid production
9	nh4_x2	Zm00001eb214890	Indian Chief ammonium transporter / N-supply proxy	N supply and transport	external ammonium level	species	ext_NH4	main.tex:426	Indian Chief ammonium transporter candidate plus manuscript N-supply framing	Approximates sustained higher inorganic N availability	higher reduced-N pools and stronger downstream amino-acid support
10	akg_pool_x2	Zm00001eb201770;Zm00001eb060520;Zm00001eb005710	2-OG-linked transaminase/GDH/omega-amidase axis	2-OG / TCA competition	2-oxoglutarate availability	species	tca_akg	main.tex:247;440;442	Tyrosine aminotransferase, GDH-related, and omega-amidase/NIT2-like discussion	Tests whether more carbon skeleton supply rescues N assimilation and Asp-family flux	more GLU/GLN support and stronger downstream amino-acid output
11	akg_pool_half	Zm00001eb201770;Zm00001eb060520;Zm00001eb005710	2-OG-linked transaminase/GDH/omega-amidase axis	2-OG / TCA competition	2-oxoglutarate availability	species	tca_akg	main.tex:247;440;442	Same as above	Loss-of-supply test for carbon skeleton limitation	weaker GLU/GLN support and lower Asp-family output
12	kdh_capacity_half	NA	TCA competition proxy	2-OG / TCA competition	AKG dehydrogenase drain	parameter	tca_Vf_kdh;tca_Vr_kdh	main.tex:223;440	Modeled pathway-level proxy for preserving 2-OG from TCA consumption	Tests whether preserving 2-OG for N assimilation changes N-rich amino-acid outputs	more available 2-OG and better C-N support
13	kdh_capacity_x2	NA	TCA competition proxy	2-OG / TCA competition	AKG dehydrogenase drain	parameter	tca_Vf_kdh;tca_Vr_kdh	main.tex:223;440	Modeled pathway-level proxy for stronger TCA draw on 2-OG	Tests whether TCA competition suppresses N-linked amino-acid synthesis	less available 2-OG and lower N-assimilation support
14	kbiosyn_half	NA	Biosynthetic 2-OG drain proxy	2-OG / TCA competition	biosynthetic AKG sink	parameter	tca_kbiosyn	main.tex:223;440	Represents reduced competing biosynthetic drain on 2-OG	Tests whether lowering non-assimilation 2-OG demand frees N-assimilation carbon skeleton	more available 2-OG
15	kbiosyn_x2	NA	Biosynthetic 2-OG drain proxy	2-OG / TCA competition	biosynthetic AKG sink	parameter	tca_kbiosyn	main.tex:223;440	Represents stronger competing biosynthetic drain on 2-OG	Tests competition between biomass demand and N assimilation	less available 2-OG
16	glu_half	Zm00001eb429100;Zm00001eb287980	Glu/Gln transport proxy	Glu/Gln pool state	glutamate initial pool	species	nh4_GLU	main.tex:247;426;440	Glutamate and glutamine transporter-centered layer	Quick pool perturbation for glutamate availability	weaker AspAT support
16	glu_x2	Zm00001eb429100;Zm00001eb287980	Glu/Gln transport proxy	Glu/Gln pool state	glutamate initial pool	species	nh4_GLU	main.tex:247;426;440	Glutamate and glutamine transporter-centered layer	Quick pool perturbation for increased glutamate availability	stronger AspAT support
16	gln_half	Zm00001eb429100;Zm00001eb287980	Glu/Gln transport proxy	Glu/Gln pool state	glutamine initial pool	species	nh4_GLN	main.tex:247;426;440	Glutamate and glutamine transporter-centered layer	Quick pool perturbation for glutamine availability	weaker reduced-N buffering
16	gln_x2	Zm00001eb429100;Zm00001eb287980	Glu/Gln transport proxy	Glu/Gln pool state	glutamine initial pool	species	nh4_GLN	main.tex:247;426;440	Glutamate and glutamine transporter-centered layer	Quick pool perturbation for increased glutamine availability	stronger reduced-N buffering
17	asp_pool_x2	NA	Asp pool state proxy	Asp-family pool state	aspartate initial pool	species	asp_Asp	main.tex:223;408	Pathway-state perturbation rather than direct candidate	Tests pool sensitivity distinct from enzyme control	more residual Asp, modest downstream increase
18	asp_pool_half	NA	Asp pool state proxy	Asp-family pool state	aspartate initial pool	species	asp_Asp	main.tex:223;408	Pathway-state perturbation rather than direct candidate	Tests lower starting Asp reservoir	less residual Asp, modest downstream decrease
19	n_sink_both_0p75	NA	Reduced GLU+GLN demand sink	N assimilation and reassimilation	lumped reduced-N demand	parameter	nh4_Vgludem;nh4_Vglndem	curated integration tuning	Conservative reduction of abstract Bruggeman reduced-N withdrawal after network integration	raises GLU/GLN modestly and lowers NH4 accumulation
20	n_sink_both_0p5	NA	Reduced GLU+GLN demand sink	N assimilation and reassimilation	lumped reduced-N demand	parameter	nh4_Vgludem;nh4_Vglndem	curated integration tuning	Stronger reduction of abstract reduced-N withdrawal to test sensitivity of the integrated N layer	raises GLU/GLN more strongly and lowers NH4 accumulation
21	n_sink_glu_0p75	NA	Reduced GLU demand sink	N assimilation and reassimilation	lumped glutamate demand	parameter	nh4_Vgludem	curated integration tuning	Selective reduction of abstract glutamate withdrawal after network integration	raises GLU and modestly lowers NH4
22	n_sink_gln_0p75	NA	Reduced GLN demand sink	N assimilation and reassimilation	lumped glutamine demand	parameter	nh4_Vglndem	curated integration tuning	Selective reduction of abstract glutamine withdrawal after network integration	raises GLN
23	n_demand_x1p25	NA	Increased GLU+GLN demand sink	N assimilation and reassimilation	lumped reduced-N demand	parameter	nh4_Vgludem;nh4_Vglndem	curated integration tuning	Stronger abstract reduced-N withdrawal to test opposing demand pressure	lowers GLU/GLN and raises NH4
24	asns_half	NA	Asparagine synthetase / Asn branch	Asp / Asn branch	ASNS capacity	parameter	Vmax_ASNS	main.tex:223;230;241;256;428	Adds the manuscript-facing Asn storage/transport branch using conservative BRENDA priors	Loss-of-function style test for Asn synthesis	lower Asn, higher residual Asp/Gln
24	asns_x2	NA	Asparagine synthetase / Asn branch	Asp / Asn branch	ASNS capacity	parameter	Vmax_ASNS	main.tex:223;230;241;256;428	Adds the manuscript-facing Asn storage/transport branch using conservative BRENDA priors	Tests whether stronger Asn synthesis reallocates N into the Asn pool	higher Asn, lower residual Asp/Gln
25	omega_half	Zm00001eb005710	Soil-N omega-amidase / NIT2-like CN hydrolase	TCA / 2-OG hub	OMEGA/NIT2 recycling capacity	parameter	Vmax_OMEGA	main.tex:272;416;442	Soil-N GWAS candidate tied to Asn/Gln-linked C-N recycling	Loss-of-function style test for reduced omega-amidase recycling	lower AKG recovery from Gln-linked recycling
25	omega_x2	Zm00001eb005710	Soil-N omega-amidase / NIT2-like CN hydrolase	TCA / 2-OG hub	OMEGA/NIT2 recycling capacity	parameter	Vmax_OMEGA	main.tex:272;416;442	Soil-N GWAS candidate tied to Asn/Gln-linked C-N recycling	Tests whether stronger omega-amidase recycling boosts AKG/NH4 recovery from Gln-linked flux	more AKG/NH4 recycling from the Gln branch
26	p5cs_half	NA	Proline axis P5CS proxy	Proline axis	P5CS entry capacity	parameter	Vmax_P5CS	main.tex:225;286;460;462	Proline remodeling is a major manuscript phenotype; this is a pathway-level entry proxy	Loss-of-function style test for reduced proline entry from glutamate	lower Pro
26	p5cs_x2	NA	Proline axis P5CS proxy	Proline axis	P5CS entry capacity	parameter	Vmax_P5CS	main.tex:225;286;460;462	Proline remodeling is a major manuscript phenotype; this is a pathway-level entry proxy	Tests stronger glutamate-to-P5C routing	higher Pro with stronger Glu draw
27	p5cr_half	NA	Proline axis P5CR proxy	Proline axis	P5CR finishing capacity	parameter	Vmax_P5CR	main.tex:225;286;460;462	Proline remodeling is a major manuscript phenotype; this is the terminal reductase proxy	Loss-of-function style test for reduced P5C-to-Pro conversion	lower Pro and more P5C retention
27	p5cr_x2	NA	Proline axis P5CR proxy	Proline axis	P5CR finishing capacity	parameter	Vmax_P5CR	main.tex:225;286;460;462	Proline remodeling is a major manuscript phenotype; this is the terminal reductase proxy	Tests stronger P5C-to-Pro conversion	higher Pro
